Time,Size,Amazon Echo,Belkin Motion,Belkin Switch,Blipcare BloodPressure Meter,HP Printer,Dropcam,Insteon Camera,LIFX Smart Bulb,NEST Smoke Alarm,Netatmo Welcome Camera,Netatmo Weather Station,PIX-STAR Photo-frame,Samsung SmartCam,Smart Things,TP-Link Day Night Cloud camera,TP-Link Smart plug,Triby Speaker,Withings Smart Baby Monitor,Withings Smart scale,Withings Aura smart sleep sensor,iHome Plug,Samsung Galaxy Tab,Android Phone 1,Laptop,MacBook,Android Phone 2,iPhone,MacBook/iPhone,User Activity
2016/9/22 14:00,2289435,93,230,166,0,0,473,0,0,0,184,0,0,124,26,31,0,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:01,684209,93,230,0,0,4,473,0,0,0,6,0,0,6,14,31,0,2,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:02,1200517,93,190,166,0,4,104,0,0,0,184,0,0,124,26,31,0,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:03,23773,93,0,0,0,0,473,0,0,0,6,0,29,124,26,31,6,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:04,20311,93,149,166,0,4,473,0,0,0,184,0,0,124,26,31,0,2,49,0,81,0,201,0,0,0,0,0,0,0
2016/9/22 14:05,1200517,93,193,166,0,4,473,0,0,0,184,0,41,124,14,31,0,11,49,0,45,0,201,0,0,0,0,0,0,0
2016/9/22 14:06,27085,93,277,0,0,0,473,0,0,0,184,0,0,124,14,31,0,2,49,0,43,0,201,0,0,0,0,0,0,0
2016/9/22 14:07,1200517,93,277,166,0,4,473,0,0,0,6,0,29,124,26,31,6,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:08,77606054,93,0,166,0,4,103,0,0,0,6,29,0,6,14,31,0,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:09,79051361,93,0,0,0,0,473,0,0,0,184,29,0,124,26,31,0,2,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:10,98947019,93,190,166,0,4,473,0,0,0,6,29,0,124,26,31,0,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:11,31733,93,190,0,0,4,473,0,0,0,184,29,0,124,14,31,6,2,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:12,1200517,93,190,166,0,0,473,0,0,0,184,0,0,124,26,31,0,11,49,0,0,0,201,0,0,0,0,83,0,0
2016/9/22 14:13,21650,93,0,166,0,4,473,0,0,0,184,0,0,6,26,31,0,11,49,0,0,0,201,0,0,0,0,4,0,0
2016/9/22 14:14,1200517,93,190,166,0,4,473,0,0,0,184,0,0,124,26,31,0,2,49,0,0,0,201,0,0,0,0,172,0,0
2016/9/22 14:15,21358,93,190,0,0,0,473,0,0,0,6,0,0,6,14,31,6,11,49,0,0,0,201,0,0,0,0,172,0,0
2016/9/22 14:16,1200517,119,0,0,0,4,104,0,0,0,184,0,0,6,26,52,0,2,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:17,1200517,93,190,166,0,4,473,0,0,0,6,0,29,124,26,31,0,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:18,24667,12,0,0,0,0,473,0,0,0,184,29,29,6,26,31,0,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:19,1200517,93,190,166,0,4,104,0,0,0,6,29,29,124,26,31,6,2,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:20,26901,93,190,0,0,4,473,0,0,0,184,0,0,124,26,31,0,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:21,22578,93,0,0,0,0,473,0,0,0,184,0,0,6,14,31,0,10,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:22,1200517,93,147,166,0,4,473,0,0,12,184,0,0,124,26,31,0,13,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:23,29311,93,188,0,0,4,103,0,0,250,6,0,29,124,14,31,6,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:24,1200517,93,250,166,0,0,473,0,0,9,184,0,0,124,26,31,0,2,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:25,21033,93,0,0,0,4,102,0,0,0,6,0,0,124,14,31,0,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:26,1200517,93,190,166,0,4,473,0,0,0,184,0,0,124,26,31,0,2,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:27,27139,93,0,0,0,0,473,0,0,0,6,0,0,124,26,31,6,11,49,0,0,0,201,0,10930,0,0,0,0,0
2016/9/22 14:28,28173,93,0,0,0,4,473,0,0,0,6,29,0,124,26,31,0,11,49,0,0,0,201,0,244,0,0,0,0,0
2016/9/22 14:29,1200517,93,190,166,0,4,473,0,0,0,6,29,35,124,28,31,0,2,49,0,0,0,201,0,589,0,0,0,0,0
2016/9/22 14:30,1200517,93,0,0,0,0,473,0,0,0,6,29,29,124,27,31,6,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:31,1200517,93,190,166,0,4,473,0,0,0,6,29,0,124,34,31,8,2,63,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:32,24211,93,0,0,0,4,473,0,0,0,184,0,0,124,34,31,8,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:33,1200517,13,190,166,0,0,99,0,0,0,6,0,0,124,14,31,0,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:34,22063,93,0,0,0,4,473,0,0,0,6,0,0,124,25,31,6,2,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:35,21795,93,0,166,0,4,473,0,0,0,6,0,0,6,27,31,0,11,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:36,1200517,93,190,166,0,0,473,0,0,0,184,0,0,124,26,31,0,2,49,0,0,0,201,0,0,0,0,0,0,0
2016/9/22 14:37,30272,93,0,0,0,4,473,0,0,0,6,0,0,124,14,31,0,11,49,0,0,0,201,0,0,0,0,0,0,0
