Time,Size,Amazon Echo,Belkin Motion,Belkin Switch,Blipcare BloodPressure Meter,HP Printer,Dropcam,Insteon Camera,LIFX Smart Bulb,NEST Smoke Alarm,Netatmo Welcome Camera,Netatmo Weather Station,PIX-STAR Photo-frame,Samsung SmartCam,Smart Things,TP-Link Day Night Cloud camera,TP-Link Smart plug,Triby Speaker,Withings Smart Baby Monitor,Withings Smart scale,Withings Aura smart sleep sensor,iHome Plug,Samsung Galaxy Tab,Android Phone 1,Laptop,MacBook,Android Phone 2,iPhone,MacBook/iPhone,User Activity
2016/9/22 14:00,61646,15,208,163,0,0,105,0,0,0,11,0,0,51,20,3,0,4,24,0,0,0,13,0,0,0,0,0,0,0
2016/9/22 14:01,23710,21,0,0,0,2,112,0,0,0,6,0,0,6,14,3,0,2,39,0,0,0,13,0,0,0,0,0,0,0
2016/9/22 14:02,47271,46,86,60,0,2,104,0,0,0,8,0,0,29,18,3,0,5,22,0,0,0,8,0,0,0,0,0,0,0
2016/9/22 14:03,23773,16,0,0,0,0,115,0,0,0,6,0,5,9,16,5,3,7,22,0,0,0,6,0,0,0,0,0,0,0
2016/9/22 14:04,20311,16,0,3,0,2,113,0,0,0,10,0,0,8,16,3,0,2,24,0,0,0,2,0,0,0,0,0,0,0
2016/9/22 14:05,57783,18,82,60,0,2,116,0,0,0,8,0,32,28,14,3,0,5,24,0,0,0,30,0,0,0,0,0,0,0
2016/9/22 14:06,27085,17,3,0,0,0,122,0,0,0,8,0,0,30,14,16,0,2,24,0,0,0,10,0,0,0,0,0,0,0
2016/9/22 14:07,64186,73,83,60,0,2,116,0,0,0,6,0,8,29,21,3,6,5,23,0,0,0,32,0,0,0,0,0,0,0
2016/9/22 14:08,29611,15,0,4,0,2,103,0,0,0,6,4,0,6,14,3,0,7,21,0,0,0,35,0,0,0,0,0,0,0
2016/9/22 14:09,36661,15,0,0,0,0,113,0,0,0,8,5,0,33,18,3,0,2,24,0,0,0,72,0,0,0,0,0,0,0
2016/9/22 14:10,72252,16,146,120,0,2,118,0,0,0,6,6,0,37,18,3,0,5,24,0,0,0,16,0,0,0,0,0,0,0
2016/9/22 14:11,31733,22,3,0,0,2,118,0,0,0,8,25,0,31,14,3,4,2,39,0,0,0,10,0,0,0,0,0,0,0
2016/9/22 14:12,70014,44,142,120,0,0,120,0,0,0,8,0,0,28,22,3,0,5,24,0,0,0,16,0,0,0,0,0,0,0
2016/9/22 14:13,21650,19,0,4,0,2,105,0,0,0,8,0,0,6,15,3,0,5,22,0,0,0,12,0,0,0,0,0,0,0
2016/9/22 14:14,50085,17,82,60,0,2,115,0,0,0,10,0,0,52,16,3,0,2,22,0,0,0,11,0,0,0,0,0,0,0
2016/9/22 14:15,21358,17,3,0,0,0,114,0,0,0,6,0,0,6,14,3,3,5,24,0,0,0,16,0,0,0,0,0,0,0
2016/9/22 14:16,36581,96,0,0,0,2,104,0,0,0,8,0,0,6,16,44,0,2,24,0,0,0,12,0,0,0,0,0,0,0
2016/9/22 14:17,57740,20,83,64,0,2,110,0,0,0,6,0,29,29,16,3,0,5,49,0,0,0,10,0,0,0,0,0,0,0
2016/9/22 14:18,24667,12,0,0,0,0,112,0,0,0,8,5,2,6,16,3,0,7,35,0,0,0,11,0,0,0,0,0,0,0
2016/9/22 14:19,51324,16,83,61,0,2,104,0,0,0,6,23,6,54,16,3,3,2,22,0,0,0,5,0,0,0,0,0,0,0
2016/9/22 14:20,26901,14,3,0,0,2,108,0,0,0,12,0,0,7,20,3,0,5,33,0,0,0,32,0,0,0,0,0,0,0
2016/9/22 14:21,22578,14,0,0,0,0,112,0,0,0,8,0,0,6,14,3,0,2,39,0,0,0,8,0,0,0,0,0,0,0
2016/9/22 14:22,63000,71,82,64,0,4,108,0,0,0,10,0,0,52,16,3,0,5,24,0,0,0,30,0,0,0,0,0,0,0
2016/9/22 14:23,29311,19,0,0,0,4,103,0,0,0,6,0,5,7,14,3,3,5,24,0,0,0,35,0,0,0,0,0,0,0
2016/9/22 14:24,70639,57,167,164,0,0,119,0,0,0,8,0,0,29,18,3,0,2,24,0,0,0,32,0,0,0,0,0,0,0
2016/9/22 14:25,21033,17,0,0,0,2,102,0,0,0,6,0,0,29,14,3,0,5,20,0,0,0,3,0,0,0,0,0,0,0
