model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
decisionTree,0.07504215851602024,0.06408094435075885,0.7858347386172007,0.07504215851602024,0.8608768971332209,0.4381962543701932,0.5189504373177842,0.8023920767937298,0.9128305582761999,0.5,0.5393939393939394
logisticRegression,0.07273887382357633,0.08709523049928218,0.7543467857712554,0.0858191099058861,0.8270856595948317,0.3540930272077193,0.4569138276553107,0.779756462680719,0.8978545661666983,0.45875251509054327,0.4550898203592814
knn,0.04014294222751638,0.09874925550923168,0.8453841572364502,0.015723645026801666,0.8855270994639667,0.4077213617254906,0.41223241590214066,2.629579851103531,0.981740213030848,0.7185501066098081,0.2890222984562607
svm_linear,0.07642563198118754,0.07804232804232804,0.7729276895943563,0.07260435038212816,0.8493533215755438,0.41495973548897347,0.5036319612590798,0.8708963938179737,0.9141317573439944,0.5128205128205128,0.49476688867745006
svm_2,0.03710803779268794,0.10749007257291524,0.8232233328768999,0.032178556757496916,0.8603313706695879,0.303318719480374,0.3469910371318823,0.42202479902530815,0.9623819433327997,0.5355731225296443,0.2566287878787879
svm_3,0.03614916286149163,0.10324708269913749,0.8399289700659563,0.02067478437341451,0.876078132927448,0.35204054531020007,0.3684550743374273,0.4186848395487832,0.9759764185703759,0.6361607142857143,0.25932666060054593
svm_rbf,0.08198051948051949,0.06547619047619048,0.7919372294372294,0.06060606060606061,0.8739177489177489,0.49168346405959185,0.5652985074626866,0.848064091158388,0.928911456680419,0.5749525616698292,0.5559633027522936
naiveBayes,0.07870081199250469,0.2061211742660837,0.6670830730793255,0.048094940662086194,0.7457838850718301,0.2835755614202862,0.3823975720789075,4.332612276488916,0.9327510917030568,0.6206896551724138,0.27631578947368424
random_forest,0.0677819937909624,0.07347361159020352,0.7975163849603312,0.06122800965850293,0.8652983787512936,0.42448858536951006,0.5015954052329291,0.8584647823748014,0.9287005422775658,0.5254010695187166,0.47985347985347987
ridgeClassifierCV,0.06157039086821169,0.08941542718782428,0.7210307851954341,0.12798339674852993,0.7826011760636458,0.23480511981214416,0.361604875571356,0.5618944728898302,0.8492564677123651,0.3248175182481752,0.40778923253150057
passiveAggressiveClassifier,0.05516693163751987,0.06804451510333863,0.6570747217806041,0.21971383147853737,0.712241653418124,0.1451438569961504,0.2771565495207668,0.2116533351685807,0.7494106980961015,0.20069404279930594,0.447741935483871
