model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
decisionTree,0.04010410505146102,0.01419614338104815,0.9249970424701289,0.020702709097361882,0.9651011475215899,0.6795846914103206,0.6968139773895171,1.101447763829088,0.978108581436077,0.6595330739299611,0.738562091503268
logisticRegression,0.03608186442683071,0.01821838400567846,0.9219212114042352,0.02377854016325565,0.9580030758310659,0.6107257788233643,0.6321243523316061,0.9002263122802473,0.9748561421065799,0.6027667984189723,0.664488017429194
knn,0.02768247959304389,0.02661776883946528,0.9345794392523364,0.011120312315154384,0.9622619188453804,0.5843976782414475,0.5946632782719187,1.3350662273064493,0.9882411808856643,0.7134146341463414,0.5098039215686274
svm_linear,0.03903939429788241,0.01526085413462676,0.9188453803383414,0.026854371229149413,0.9578847746362238,0.6307501717531728,0.6496062992125985,1.1097277740380425,0.9716037027770829,0.59245960502693,0.7189542483660131
svm_2,0.027445877203359753,0.026854371229149413,0.9339879332781261,0.011711818289364722,0.9614338104814859,0.5760295369555849,0.5873417721518988,1.3231491700181157,0.9876157117838379,0.7009063444108762,0.5054466230936819
svm_3,0.027919081982728026,0.026381166449781144,0.9324500177451792,0.013249733822311606,0.9603690997279073,0.570457342868098,0.5848822800495663,1.209271156179689,0.9859894921190894,0.6781609195402298,0.514161220043573
svm_rbf,0.041642020584407906,0.012658227848101266,0.9162427540518159,0.029456997515674908,0.9578847746362238,0.6487586189899427,0.6641509433962265,1.1967174017603237,0.9688516387290468,0.5856905158069884,0.7668845315904139
naiveBayes,0.0001183011948420679,0.0541819472376671,0.9451082455932804,0.0005915059742103396,0.9452265467881226,0.013215493029358134,0.004301075268817204,0.00315974860620933,0.9993745308981736,0.16666666666666666,0.002178649237472767
random_forest,0.03347923814030522,0.020821010292203953,0.93020229504318,0.015497456524310895,0.9636815331834852,0.6301759633927422,0.6483390607101946,0.7031031968727456,0.9836127095321491,0.6835748792270532,0.616557734204793
ridgeClassifierCV,0.009818999171891636,0.044481249260617535,0.9404944989944398,0.005205252573050988,0.9503134981663315,0.32659469309908673,0.28327645051194533,0.3250349890611816,0.994495871903928,0.6535433070866141,0.18082788671023964
passiveAggressiveClassifier,0.018336685200520526,0.03596356323198864,0.9339879332781261,0.011711818289364722,0.9523246184786467,0.4318010016956808,0.43478260869565216,3.939519156667662,0.9876157117838379,0.610236220472441,0.33769063180827885
